@relation tweets

@attribute Document string
@attribute Slang {yes,no}

@data
'But anywho wash how you wash lol as long as you get clean',yes
'@Europeanlingeri lol I had a eerie feeling this was yours http://t.co/QwrWIXSyPJ',yes
'@RobotsVSaliens: @Dutchesss____ it was on somebody\'s porch and we wanted it lol You and your friends are to live , We need to hang Foreal',yes
'@Roze_Hope33 I am lol\'n so much right now at this http://t.co/bgGpylVE7q',yes
'@kayy_beauti I wish I was there to mess with y\'all lol',yes
'@DecemberHapner lol this was made by you? http://t.co/FLXXFctNs3',yes
'bruh, my mom got that cake lol',yes
'@111xxx9 Im lol\'n so much right now at this http://t.co/nUAXGvJGh8',yes
'@stacyrae21 it\'ll be worth it in the end besides you have the whole summer ahead of you. #keepcalm lol',yes
'@_BucketsMcnasty its not my birthday lol',yes
'Lol idk if I\'m ok w/ having nobody supporting me @ my game or nah? 😳',yes
'Who wants to give me lap by lap coverage of all 43 cars? Lol. Im stuck in the stone age at work with NO WI FI. #suffering',yes
'@Shoma092026 lol this was written by you? http://t.co/W04N0YKunW',yes
'@_StephonX you\'re right lol but sometimes I forget 😅',yes
'@MadisonRennne lol this was posted by you? http://t.co/9aCXFTf4hT',yes
'DO IT FOR THE VINE. “@dan_marchese: @iRepTeamHEAT @ohivaleria LOL shall i hit the streets undercover and find out😂😂😂�?',yes
'@kimsaad2 lol this was posted by you? http://t.co/qnGDFboqnO',yes
'@pIebeian I am lol\'n so much right now at this http://t.co/cMAdlBlWCr',yes
'@laurineshizzle I\'m lol\'n so hard right now at this http://t.co/CFk01IBPQF',yes
'@Bilalnador2 I am lol\'n so much right now at this http://t.co/YquVfK54bl',yes
'@stugraham44 @PenfoldThe2nd yeah I\'m up for that. Although training may conflict with band rehearsals lol',yes
'@connorgmilligan I am lol\'n so much right now at this http://t.co/UbCKBPIdws',yes
'@D_Ranger9 I\'m lol\'n so much right now at this http://t.co/paUEJjtYL2',yes
'@BillyBillyBedo only coz ur training him! He needs to spend the day with you again lol',yes
'@caneby I\'m lol\'n so hard right now at this http://t.co/N4aaMk6pvM',yes
'@LBotinas lol I had a strange feeling this was you http://t.co/DrAIFc8qrq',yes
'@ismokepapers_ lol. I suggest you go do something productive. Go study or something.',yes
'@helterskelterr LOL u gotta see this, its funny http://t.co/4iSOJlLQZa',yes
'@noeeliaa05 lol this was written by you? http://t.co/U7E0Khob2W',yes
'@eusebiocarolyn people just like being bitter sadly lol. 😘😚',yes
'lol http://t.co/lQw8em30nT',yes
'@AliceAnne3 I\'m lol\'n so hard right now at this http://t.co/iaYtCiBxEG',yes
'@PD1_4 ahahah i don\'t believe was his style.. lol',yes
'Than he said I was lagging and forgot that we was on his host, switched host and he still said the same thing lol.. last he said he was a &gt;',yes
'@AnnisaBns I\'m lol\'n so much right now at this http://t.co/6c3Er2A8p1',yes
'@KianaVallier I\'m lol\'n so much right now at this http://t.co/ZshodmFMnk',yes
'RT @VivaaaaLaRayne: lol goals. http://t.co/pS9rKejKBj',yes
'@eeeinjaerb lol I deleted yours',yes
'@WeRRiverside lol this was posted by you? http://t.co/vPsJv50tSd',yes
'@Chocolatechill_ I\'m lol\'n so hard right now at this http://t.co/26TxuvAaSI',yes
'@LukeTyStone Im lol\'n so much right now at this http://t.co/3qK5aQPT9i',yes
'@criddering lol I had a strange feeling this was you http://t.co/sVfMlASOIa',yes
'@Theniggabigmac why does lil ole you gotta choose the mall? Lol',yes
'@JessyBaybes Ohhh nvm lol.  I\'ll swim alone cuz everyone else went to beach without me',yes
'@___autyy lol this was written by you? http://t.co/UKovAdgnM9',yes
'Thanks bae! “@LadasiaShaiann: @SheWorkMiracles I like ya avi bae , ju a baddie lol�?',yes
'@re2010em lol this was done by you? http://t.co/NlBjuHwy47',yes
'@Appocinamin lol this was made by you? http://t.co/aq78kmjXGg',yes
'@JamyaLovinLife Lol, tell her when she say anything about a job, throw my name in the air...',yes
'@DominicBronzati lol I had a crazy feeling this is you http://t.co/NLRLJ01YY3',yes
'I\'m the type of female u have 2 degrees ima get 3. You got middle stadium tickets ima get front row lol',yes
'@KateBOSS__ I was gone jus repost it but it had sister on there . Lol I can\'t live ?? Ahaha',yes
'@OLUWASHEYIADEYI I\'m lol\'n so much right now at this http://t.co/lLdWIUyFKW',yes
'@gonfaIon I\'m lol\'n so hard right now at this http://t.co/OpJFant8ME',yes
'Lol @lanrewaaju: Technically, Chelsea won 2 trophies. 1) Not losing to any top 4 team. 2) UCL qualification.',yes
'@Damnn_HeAFan: @Biteee_MeHard Happy Birthdayyy �?🎉🎊🎈🎂Lol Thank You',yes
'@Watsonfurniture I\'m lol\'n so much right now at this http://t.co/iVVWkLoJx1',yes
'All my best friends are slowly all moving to Omaha :-) #trouble lol',yes
'@PeopleCallMeZIG damn that\'s soon Lol. Why so far away',yes
'@freetobehappy__ haha 💜 text me quick who u think to invite! Lol need to fill u in asap!',yes
'@_BelleDiaJione_ lol yeah I be checking , only thing they be having up there is available shifts',yes
